smoothness_ranking,picture_quality_ranking,accuracy_ranking,overall_ranking,entry_index,text_prompt
"C,D,A,B","C,D,A,B","C,D,A,B","C,D,A,B",1,A flower blooming from a bud to full bloom over time.
"D,C,B,A","C,D,B,A","B,D,C,A","D,B,C,A",2,A cat chasing a laser pointer dot across the room.
"D,C,A,B","D,B,A,C","D,A,B,C","D,A,B,C",3,A rotating 3D cube changing colors.
"A,B,D,C","A,C,B,D","A,C,B,D","A,C,B,D",4,A sunrise over the mountains turning into daytime.
"B,A,C,D","A,B,C,D","A,C,D,B","A,C,B,D",5,A person morphing into a wolf under a full moon.
"C,B,A,D","A,D,B,C","A,D,C,B","A,D,B,C",6,Raindrops falling into a puddle creating ripples.
"B,A,C,D","A,B,D,C","D,C,B,A","D,C,B,A",7,A city skyline transitioning from day to night with lights turning on.
"B,C,A,D","B,C,D,A","D,C,B,A","B,D,C,A",8,An apple falling from a tree and bouncing on the ground.
"D,A,B,C","D,C,B,A","D,C,A,B","D,C,B,A",9,A hand drawing a circle on a whiteboard.
"D,A,B,C","A,D,C,B","A,C,B,D","A,C,D,B",10,An ice cube melting into water.
"A,B,D,C","C,A,D,B","A,D,C,B","A,D,C,B",11,A rocket launching into space and disappearing into the stars.
"C,A,B,D","D,C,B,A","A,D,C,B","A,C,D,B",12,A chameleon changing colors on a branch.
"B,A,C,D","B,A,C,D","A,D,C,B","A,B,C,D",13,A balloon inflating and then popping.
"D,C,B,A","B,C,A,D","C,D,B,A","C,D,B,A",14,A paper airplane flying across a classroom.
"C,D,A,B","C,D,B,A","D,B,C,A","D,C,B,A",15,Clouds forming and then dissipating in the sky.
"C,B,D,A","C,B,D,A","C,B,D,A","C,B,D,A",16,A cup of coffee being poured with steam rising.
"A,D,B,C","A,C,D,B","A,C,D,B","A,C,D,B",17,A clock's hands moving fast-forward from noon to midnight.
"B,D,C,A","B,C,D,A","B,C,A,D","B,C,A,D",18,A caterpillar transforming into a butterfly.
"A,D,B,C","A,B,D,C","D,C,B,A","A,D,B,C",19,A book opening and pages flipping.
"B,D,A,C","B,C,D,A","C,B,A,D","B,C,A,D",20,A snowman melting under the sun.
"A,D,C,B","C,A,B,D","A,C,D,B","A,C,B,D",21,A traffic light cycling from red to green.
"C,B,A,D","C,D,A,B","A,D,B,C","D,C,A,B",22,A fish jumping out of water and diving back in.
"C,A,B,D","C,A,B,D","C,B,A,D","C,A,B,D",23,An artist painting a canvas with a brush.
"A,B,C,D","C,D,B,A","C,B,D,A","C,B,D,A",24,A spinning globe showing continents passing by.
"B,C,A,D","B,A,D,C","B,C,D,A","B,C,D,A",25,Leaves falling from a tree in autumn.
"C,A,B,D","C,A,D,B","A,C,D,B","A,C,D,B",26,A car transforming into a robot.
"C,D,A,B","B,A,C,D","A,D,C,B","A,C,B,D",27,A candle burning down with the flame flickering.
"D,A,B,C","A,C,B,D","A,C,B,D","A,C,B,D",28,A soccer ball being kicked into a goal.
"A,C,B,D","A,C,B,D","A,C,B,D","A,C,B,D",29,A river flowing through a forest.
"B,D,A,C","C,D,A,B","B,A,C,D","B,D,A,C",30,A rainbow appearing after rain.
"B,A,C,D","B,C,A,D","C,B,A,D","B,C,A,D",31,An eclipse where the moon passes in front of the sun.
"B,C,A,D","A,D,B,C","B,C,D,A","B,C,A,D",32,A horse galloping across a field.
"D,C,B,A","C,D,B,A","C,A,B,D","C,D,A,B",33,Popcorn popping in a microwave.
"D,C,A,B","D,C,A,B","C,D,A,B","D,C,A,B",34,A kaleidoscope pattern changing shapes and colors.
"C,D,A,B","D,A,B,C","D,B,A,C","D,B,A,C",35,A glass shattering into pieces when dropped.
"A,C,D,B","D,C,A,B","A,B,D,C","A,C,D,B",36,An astronaut floating in space waving.
"B,A,D,C","B,A,C,D","B,A,D,C","B,A,D,C",37,A plant growing from a seed to a sapling.
"A,D,B,C","A,B,D,C","B,A,D,C","A,B,D,C",38,Fireworks exploding in the night sky.
"A,D,B,C","B,C,D,A","D,A,C,B","D,A,C,B",39,A dog wagging its tail happily.
"C,B,A,D","B,A,C,D","D,A,C,B","C,B,A,D",40,A compass needle spinning and settling north.
"D,A,B,C","B,C,A,D","C,D,A,B","C,B,D,A",41,An umbrella opening up during rainfall.
"B,C,D,A","B,C,A,D","B,C,A,D","B,C,A,D",42,A stop-motion animation of clay figures moving.
"B,D,C,A","D,B,C,A","B,A,C,D","B,D,C,A",43,A battery draining from full to empty.
"A,D,B,C","A,C,D,B","A,C,D,B","A,C,D,B",44,A puzzle being assembled piece by piece.
"D,A,B,C","C,D,B,A","C,A,B,D","C,A,B,D",45,A windmill's blades turning in the breeze.
"D,C,A,B","A,C,D,B","D,C,B,A","D,C,A,B",46,A snake slithering through the grass.
"D,A,C,B","D,A,C,B","A,C,D,B","A,C,D,B",47,A paintbrush changing colors as it moves.
"C,D,A,B","B,A,D,C","C,A,B,D","C,A,B,D",48,A volcano erupting with lava flowing.
"A,C,B,D","C,D,A,B","D,B,A,C","C,D,A,B",49,An eye blinking slowly.
"A,B,D,C","A,B,D,C","B,A,D,C","B,A,D,C",50,A paper crumpling into a ball.
