smoothness_ranking,picture_quality_ranking,accuracy_ranking,overall_ranking,entry_index,text_prompt
"C,A,B,D","C,A,B,D","C,B,A,D","C,B,A,D",1,A flower blooming from a bud to full bloom over time.
"D,B,A,C","B,A,C,D","B,C,D,A","D,B,A,C",2,A cat chasing a laser pointer dot across the room.
"D,A,C,B","D,A,C,B","A,D,C,B","A,D,C,B",3,A rotating 3D cube changing colors.
"B,C,A,D","A,B,C,D","C,B,A,D","B,C,A,D",4,A sunrise over the mountains turning into daytime.
"A,D,B,C","A,B,D,C","C,A,D,B","A,D,C,B",5,A person morphing into a wolf under a full moon.
"A,B,C,D","A,D,C,B","A,C,B,D","A,C,B,D",6,Raindrops falling into a puddle creating ripples.
"B,A,D,C","A,D,B,C","D,B,A,C","D,A,B,C",7,A city skyline transitioning from day to night with lights turning on.
"B,C,D,A","B,C,D,A","C,B,D,A","B,C,D,A",8,An apple falling from a tree and bouncing on the ground.
"D,A,C,B","D,A,B,C","D,A,C,B","D,A,B,C",9,A hand drawing a circle on a whiteboard.
"A,B,C,D","A,B,C,D","A,B,D,C","A,B,C,D",10,An ice cube melting into water.
"A,B,C,D","A,B,C,D","A,B,D,C","A,B,D,C",11,A rocket launching into space and disappearing into the stars.
"A,C,D,B","D,C,A,B","A,C,D,B","A,C,D,B",12,A chameleon changing colors on a branch.
"B,C,A,D","A,B,C,D","A,B,C,D","A,B,C,D",13,A balloon inflating and then popping.
"C,D,B,A","B,C,D,A","C,D,B,A","C,D,B,A",14,A paper airplane flying across a classroom.
"C,D,A,B","D,B,C,A","C,D,A,B","C,D,A,B",15,Clouds forming and then dissipating in the sky.
"C,D,B,A","C,B,D,A","C,D,B,A","C,D,B,A",16,A cup of coffee being poured with steam rising.
"A,D,C,B","A,C,D,B","A,C,D,B","A,C,D,B",17,A clock's hands moving fast-forward from noon to midnight.
"B,A,D,C","B,A,D,C","B,C,A,D","B,A,D,C",18,A caterpillar transforming into a butterfly.
"D,C,B,A","A,B,D,C","D,C,B,A","D,C,B,A",19,A book opening and pages flipping.
"A,C,B,D","D,C,B,A","A,C,B,D","A,C,B,D",20,A snowman melting under the sun.
"D,C,A,B","D,C,A,B","D,C,A,B","D,C,A,B",21,A traffic light cycling from red to green.
"A,D,B,C","D,C,B,A","A,D,B,C","A,D,B,C",22,A fish jumping out of water and diving back in.
"C,D,A,B","C,D,A,B","C,D,A,B","C,D,A,B",23,An artist painting a canvas with a brush.
"B,C,D,A","C,B,D,A","B,C,D,A","B,C,D,A",24,A spinning globe showing continents passing by.
"C,A,B,D","C,A,B,D","C,A,B,D","C,A,B,D",25,Leaves falling from a tree in autumn.
"C,B,A,D","C,D,A,B","C,A,D,B","C,A,D,B",26,A car transforming into a robot.
"D,A,C,B","D,C,B,A","D,C,B,A","D,C,B,A",27,A candle burning down with the flame flickering.
"B,D,A,C","B,A,D,C","B,D,A,C","B,D,A,C",28,A soccer ball being kicked into a goal.
"A,C,B,D","C,B,A,D","A,C,B,D","A,C,B,D",29,A river flowing through a forest.
"D,B,A,C","D,C,B,A","C,B,A,D","C,B,D,A",30,A rainbow appearing after rain.
"B,D,A,C","D,C,B,A","B,D,A,C","B,D,C,A",31,An eclipse where the moon passes in front of the sun.
"C,B,A,D","D,B,C,A","C,B,A,D","C,B,A,D",32,A horse galloping across a field.
"B,D,A,C","A,B,D,C","B,A,D,C","B,A,D,C",33,Popcorn popping in a microwave.
"D,C,A,B","D,C,B,A","C,D,B,A","C,D,B,A",34,A kaleidoscope pattern changing shapes and colors.
"A,C,D,B","A,D,B,C","A,B,C,D","A,B,C,D",35,A glass shattering into pieces when dropped.
"A,C,B,D","A,C,D,B","A,C,B,D","A,C,B,D",36,An astronaut floating in space waving.
"B,D,A,C","B,D,A,C","B,D,C,A","B,D,A,C",37,A plant growing from a seed to a sapling.
"D,C,B,A","D,B,C,A","D,C,B,A","D,C,B,A",38,Fireworks exploding in the night sky.
"D,A,C,B","B,A,D,C","D,A,C,B","D,A,C,B",39,A dog wagging its tail happily.
"C,B,A,D","A,B,C,D","A,C,B,D","A,C,B,D",40,A compass needle spinning and settling north.
"C,A,B,D","B,A,D,C","C,A,B,D","C,A,B,D",41,An umbrella opening up during rainfall.
"C,D,B,A","C,D,B,A","C,D,B,A","C,D,B,A",42,A stop-motion animation of clay figures moving.
"B,C,D,A","B,D,C,A","C,B,A,D","B,C,A,D",43,A battery draining from full to empty.
"A,C,B,D","C,A,B,D","A,C,D,B","A,C,D,B",44,A puzzle being assembled piece by piece.
"A,D,C,B","D,C,B,A","A,C,D,B","A,C,D,B",45,A windmill's blades turning in the breeze.
"A,D,C,B","D,A,C,B","A,D,C,B","A,D,C,B",46,A snake slithering through the grass.
"A,C,D,B","C,A,D,B","A,C,D,B","A,C,D,B",47,A paintbrush changing colors as it moves.
"C,A,B,D","A,B,C,D","C,B,A,D","C,B,A,D",48,A volcano erupting with lava flowing.
"C,A,B,D","C,A,B,D","D,B,A,C","C,A,B,D",49,An eye blinking slowly.
"B,D,A,C","B,A,D,C","B,A,D,C","B,A,D,C",50,A paper crumpling into a ball.
