smoothness_ranking,picture_quality_ranking,accuracy_ranking,overall_ranking,entry_index,text_prompt
"C,A,D,B","A,B,D,C","C,A,D,B","A,C,D,B",1,A flower blooming from a bud to full bloom over time.
"B,A,D,C","B,A,D,C","B,A,C,D","A,C,B,D",2,A cat chasing a laser pointer dot across the room.
"A,B,D,C","A,C,D,B","D,A,C,B","A,D,C,B",3,A rotating 3D cube changing colors.
"C,A,B,D","B,A,C,D","A,C,B,D","C,A,B,D",4,A sunrise over the mountains turning into daytime.
"A,C,D,B","D,A,C,B","D,A,B,C","B,D,A,C",5,A person morphing into a wolf under a full moon.
"C,A,D,B","A,B,D,C","D,C,A,B","B,C,D,A",6,Raindrops falling into a puddle creating ripples.
"A,D,B,C","D,A,B,C","D,A,C,B","B,A,C,D",7,A city skyline transitioning from day to night with lights turning on.
"C,A,B,D","C,B,D,A","D,B,C,A","C,A,D,B",8,An apple falling from a tree and bouncing on the ground.
"A,D,C,B","D,B,A,C","D,B,A,C","A,D,B,C",9,A hand drawing a circle on a whiteboard.
"A,B,D,C","B,D,A,C","A,D,B,C","C,A,B,D",10,An ice cube melting into water.
"B,C,A,D","B,A,C,D","C,B,A,D","C,B,A,D",11,A rocket launching into space and disappearing into the stars.
"A,C,D,B","D,B,C,A","D,A,C,B","C,B,A,D",12,A chameleon changing colors on a branch.
"B,A,C,D","A,D,B,C","C,A,B,D","C,A,D,B",13,A balloon inflating and then popping.
"C,A,B,D","B,C,D,A","B,C,A,D","B,C,D,A",14,A paper airplane flying across a classroom.
"A,B,D,C","A,B,D,C","B,D,A,C","D,C,B,A",15,Clouds forming and then dissipating in the sky.
"A,B,D,C","B,C,D,A","A,D,C,B","D,C,B,A",16,A cup of coffee being poured with steam rising.
"D,A,C,B","A,C,D,B","A,C,D,B","A,C,D,B",17,A clock's hands moving fast-forward from noon to midnight.
"A,D,B,C","B,A,C,D","A,B,C,D","B,D,A,C",18,A caterpillar transforming into a butterfly.
"B,C,A,D","B,D,A,C","D,C,B,A","B,D,A,C",19,A book opening and pages flipping.
"D,C,B,A","D,C,B,A","C,A,B,D","D,A,B,C",20,A snowman melting under the sun.
"C,D,A,B","D,A,C,B","A,C,D,B","A,D,C,B",21,A traffic light cycling from red to green.
"D,C,B,A","B,D,C,A","C,D,A,B","C,B,D,A",22,A fish jumping out of water and diving back in.
"C,A,D,B","C,D,A,B","A,D,B,C","A,D,B,C",23,An artist painting a canvas with a brush.
"B,C,A,D","A,C,B,D","C,D,A,B","A,B,C,D",24,A spinning globe showing continents passing by.
"D,C,A,B","A,B,C,D","C,B,D,A","C,B,D,A",25,Leaves falling from a tree in autumn.
"D,C,B,A","C,B,A,D","C,D,A,B","C,B,D,A",26,A car transforming into a robot.
"B,A,D,C","D,B,C,A","A,B,C,D","D,B,A,C",27,A candle burning down with the flame flickering.
"B,A,C,D","C,D,B,A","D,A,C,B","B,A,C,D",28,A soccer ball being kicked into a goal.
"A,D,C,B","B,C,A,D","A,B,D,C","C,B,D,A",29,A river flowing through a forest.
"C,D,A,B","D,B,C,A","C,A,D,B","C,D,B,A",30,A rainbow appearing after rain.
"D,C,B,A","A,C,B,D","C,B,D,A","D,C,B,A",31,An eclipse where the moon passes in front of the sun.
"C,A,D,B","C,B,D,A","C,D,A,B","C,A,B,D",32,A horse galloping across a field.
"A,C,D,B","B,A,C,D","B,A,D,C","A,B,C,D",33,Popcorn popping in a microwave.
"B,A,C,D","D,C,B,A","D,C,B,A","C,D,B,A",34,A kaleidoscope pattern changing shapes and colors.
"A,D,C,B","B,C,A,D","A,B,D,C","A,B,C,D",35,A glass shattering into pieces when dropped.
"D,A,C,B","A,D,B,C","D,A,C,B","C,A,D,B",36,An astronaut floating in space waving.
"A,D,B,C","A,B,D,C","B,A,D,C","A,D,B,C",37,A plant growing from a seed to a sapling.
"C,D,B,A","B,D,C,A","D,B,C,A","C,B,D,A",38,Fireworks exploding in the night sky.
"A,C,D,B","B,D,A,C","B,A,D,C","A,C,D,B",39,A dog wagging its tail happily.
"A,C,B,D","B,A,D,C","A,B,C,D","C,B,A,D",40,A compass needle spinning and settling north.
"A,D,C,B","D,C,A,B","D,C,B,A","A,D,B,C",41,An umbrella opening up during rainfall.
"C,D,A,B","B,A,D,C","B,C,A,D","D,C,B,A",42,A stop-motion animation of clay figures moving.
"A,B,C,D","B,C,D,A","C,B,D,A","C,D,A,B",43,A battery draining from full to empty.
"B,A,C,D","C,A,B,D","B,C,D,A","C,A,B,D",44,A puzzle being assembled piece by piece.
"A,D,C,B","D,A,B,C","B,A,C,D","A,D,C,B",45,A windmill's blades turning in the breeze.
"A,C,D,B","D,A,C,B","C,A,B,D","A,C,D,B",46,A snake slithering through the grass.
"A,C,D,B","B,A,D,C","C,A,B,D","A,C,D,B",47,A paintbrush changing colors as it moves.
"B,A,C,D","A,C,B,D","B,A,D,C","A,B,D,C",48,A volcano erupting with lava flowing.
"B,D,C,A","C,D,A,B","C,A,B,D","B,A,C,D",49,An eye blinking slowly.
"D,B,C,A","A,D,B,C","B,D,C,A","A,D,B,C",50,A paper crumpling into a ball.
