smoothness_ranking,picture_quality_ranking,accuracy_ranking,overall_ranking,entry_index,text_prompt
"C,B,A,D","C,D,A,B","B,A,C,D","A,C,B,D",1,A flower blooming from a bud to full bloom over time.
"A,B,D,C","B,D,A,C","A,B,C,D","D,A,C,B",2,A cat chasing a laser pointer dot across the room.
"A,D,C,B","C,A,D,B","D,C,A,B","B,D,A,C",3,A rotating 3D cube changing colors.
"B,C,D,A","A,B,C,D","C,B,A,D","B,A,C,D",4,A sunrise over the mountains turning into daytime.
"D,B,A,C","D,C,B,A","B,D,C,A","A,B,D,C",5,A person morphing into a wolf under a full moon.
"B,A,C,D","A,D,B,C","D,A,C,B","D,A,B,C",6,Raindrops falling into a puddle creating ripples.
"D,A,B,C","A,D,B,C","D,A,C,B","B,D,A,C",7,A city skyline transitioning from day to night with lights turning on.
"B,C,D,A","C,A,B,D","C,B,A,D","C,A,B,D",8,An apple falling from a tree and bouncing on the ground.
"A,B,D,C","A,B,C,D","A,D,B,C","A,C,B,D",9,A hand drawing a circle on a whiteboard.
"C,D,A,B","D,B,A,C","B,D,A,C","A,B,D,C",10,An ice cube melting into water.
"A,B,C,D","B,A,C,D","B,C,A,D","B,C,D,A",11,A rocket launching into space and disappearing into the stars.
"D,A,B,C","C,D,A,B","D,B,A,C","D,C,A,B",12,A chameleon changing colors on a branch.
"B,C,A,D","B,A,C,D","A,B,D,C","A,B,C,D",13,A balloon inflating and then popping.
"C,B,A,D","D,C,B,A","C,B,D,A","B,C,D,A",14,A paper airplane flying across a classroom.
"D,A,B,C","D,B,C,A","B,C,D,A","A,D,B,C",15,Clouds forming and then dissipating in the sky.
"C,B,A,D","B,A,D,C","D,C,A,B","C,B,D,A",16,A cup of coffee being poured with steam rising.
"C,A,D,B","A,C,B,D","C,A,B,D","A,D,C,B",17,A clock's hands moving fast-forward from noon to midnight.
"B,A,D,C","A,B,D,C","A,D,B,C","B,D,A,C",18,A caterpillar transforming into a butterfly.
"B,C,A,D","D,B,C,A","C,B,D,A","A,D,B,C",19,A book opening and pages flipping.
"B,D,C,A","D,B,A,C","C,D,A,B","D,C,B,A",20,A snowman melting under the sun.
"D,C,A,B","C,D,A,B","A,B,C,D","C,D,B,A",21,A traffic light cycling from red to green.
"D,C,B,A","A,C,B,D","C,D,A,B","C,D,B,A",22,A fish jumping out of water and diving back in.
"D,C,A,B","D,A,B,C","D,C,A,B","C,A,D,B",23,An artist painting a canvas with a brush.
"C,B,A,D","A,C,B,D","C,B,A,D","C,B,A,D",24,A spinning globe showing continents passing by.
"B,D,C,A","D,A,C,B","C,D,A,B","D,B,C,A",25,Leaves falling from a tree in autumn.
"C,B,D,A","B,D,C,A","D,B,C,A","B,D,A,C",26,A car transforming into a robot.
"B,C,D,A","B,C,D,A","D,B,C,A","D,B,C,A",27,A candle burning down with the flame flickering.
"B,D,A,C","B,A,C,D","D,A,B,C","D,A,B,C",28,A soccer ball being kicked into a goal.
"C,B,A,D","B,C,A,D","B,C,D,A","A,C,B,D",29,A river flowing through a forest.
"D,A,C,B","D,C,B,A","C,B,D,A","C,B,D,A",30,A rainbow appearing after rain.
"C,B,D,A","D,C,B,A","D,C,B,A","A,D,C,B",31,An eclipse where the moon passes in front of the sun.
"D,C,A,B","C,B,D,A","D,C,B,A","C,D,B,A",32,A horse galloping across a field.
"C,A,D,B","A,B,D,C","C,A,B,D","A,B,D,C",33,Popcorn popping in a microwave.
"B,C,D,A","B,C,D,A","D,C,A,B","C,D,A,B",34,A kaleidoscope pattern changing shapes and colors.
"B,A,D,C","B,A,C,D","A,B,D,C","B,A,D,C",35,A glass shattering into pieces when dropped.
"D,A,C,B","C,A,B,D","D,A,C,B","D,A,B,C",36,An astronaut floating in space waving.
"A,D,B,C","B,D,C,A","A,B,C,D","A,D,B,C",37,A plant growing from a seed to a sapling.
"C,B,D,A","D,B,A,C","C,A,B,D","D,C,B,A",38,Fireworks exploding in the night sky.
"A,B,D,C","B,D,A,C","D,C,A,B","B,A,C,D",39,A dog wagging its tail happily.
"A,B,C,D","A,B,C,D","B,D,C,A","B,A,C,D",40,A compass needle spinning and settling north.
"A,C,B,D","A,B,D,C","B,D,A,C","B,D,A,C",41,An umbrella opening up during rainfall.
"D,C,A,B","B,D,C,A","C,B,A,D","B,D,C,A",42,A stop-motion animation of clay figures moving.
"B,C,D,A","C,D,B,A","B,D,C,A","B,C,D,A",43,A battery draining from full to empty.
"C,B,D,A","C,B,A,D","B,A,C,D","A,C,B,D",44,A puzzle being assembled piece by piece.
"C,A,B,D","C,A,D,B","C,A,B,D","A,C,D,B",45,A windmill's blades turning in the breeze.
"A,C,B,D","A,C,D,B","C,A,B,D","D,C,A,B",46,A snake slithering through the grass.
"D,A,C,B","A,C,D,B","C,A,D,B","A,C,D,B",47,A paintbrush changing colors as it moves.
"B,A,D,C","B,A,C,D","A,B,C,D","B,A,C,D",48,A volcano erupting with lava flowing.
"C,B,A,D","A,B,C,D","A,C,D,B","B,C,A,D",49,An eye blinking slowly.
"D,A,B,C","B,A,D,C","B,C,D,A","C,A,B,D",50,A paper crumpling into a ball.
